3,-0.0625,-0.25,-0.0625,-0.01513672,0.03076172,0.9711914,0.02685547,0.02587891,-0.3237305
5,-0.0625,-0.25,-0.0625,-0.01513672,0.03076172,0.9711914,0.02685547,0.02587891,-0.3237305
6,-0.0625,0.0625,0,-0.04638672,0.02685547,0.9672852,0.03857422,0.02587891,-0.3222656
8,-0.375,-0.25,-0.375,-0.04638672,0.02294922,0.9790039,0.03857422,0.02587891,-0.3222656
9,-0.0625,0.5625,0.0625,-0.05029297,0.04248047,0.9711914,0.03857422,0.02587891,-0.3222656
11,-0.125,-0.125,-0.1875,-0.03857422,0.02685547,0.9829102,0.03613281,0.02148438,-0.3110352
12,0.125,0.5,-0.0625,-0.04638672,0.03466797,0.9672852,0.03613281,0.02148438,-0.3110352
14,0.125,0.5,-0.375,-0.05419922,0.03466797,0.9555664,0.03613281,0.02148438,-0.3110352
16,0.1875,-0.875,-0.3125,-0.03466797,0.04638672,0.9672852,0.03125,0.02587891,-0.3251953
18,0,0.625,-0.1875,-0.03857422,0.04638672,0.9672852,0.03125,0.02587891,-0.3251953
19,0.0625,0.6875,-0.6875,-0.03466797,0.02294922,0.9829102,0.03125,0.02587891,-0.3251953
21,0.3125,-0.125,0,-0.04638672,0.01513672,0.9633789,0.03125,0.02587891,-0.3251953
22,0,0.3125,-0.1875,-0.05029297,0.01513672,0.9750977,0.03125,0.02587891,-0.3251953
24,0.3125,-0.125,-0.875,-0.04248047,0.01123047,0.9672852,0.03125,0.02587891,-0.3251953
25,-0.0625,-0.6875,-0.375,-0.01904297,0.02685547,0.9829102,0.03125,0.02587891,-0.3251953
27,-0.125,0.0625,-0.125,-0.02294922,0.04248047,0.9633789,0.03271484,0.03173828,-0.3139648
28,0.125,-0.5,-0.375,-0.05029297,0.02685547,0.9477539,0.03271484,0.03173828,-0.3139648
31,0.125,-0.1875,-0.5625,-0.04248047,0.01904297,0.9790039,0.03271484,0.03173828,-0.3139648
32,-1.0625,-1.1875,-0.0625,-0.02294922,0.01513672,0.9750977,0.03369141,0.02001953,-0.3178711
34,-0.6875,-1.5,-0.125,-0.04638672,0.04248047,0.9594727,0.03369141,0.02001953,-0.3178711
35,-0.4375,-0.6875,0.125,-0.05810547,0.03466797,0.9243164,0.03369141,0.02001953,-0.3178711
37,-1.1875,-0.6875,-0.3125,-0.04638672,0.007324219,0.9868164,0.03369141,0.02001953,-0.3178711
38,-0.0625,0,-0.25,-0.01123047,0.02685547,0.9477539,0.03369141,0.02001953,-0.3178711
40,-0.5625,-0.6875,0.1875,-0.03857422,0.03466797,0.9868164,0.03369141,0.02001953,-0.3178711
41,0,-0.5625,-0.3125,-0.03857422,0.01513672,0.9360352,0.03369141,0.02001953,-0.3178711
44,0.0625,0.0625,0,-0.01513672,0.02685547,0.9711914,0.02539063,0.02832031,-0.3222656
45,0.25,-0.625,-0.1875,-0.03076172,0.04248047,0.9633789,0.02539063,0.02832031,-0.3222656
47,-0.3125,0.6875,-0.25,-0.03076172,0.01513672,0.9829102,0.02539063,0.02832031,-0.3222656
48,0.125,0.125,0,-0.03466797,0.007324219,0.9829102,0.03125,0.02490234,-0.3266602
50,-0.25,0,-0.4375,-0.03857422,0.02685547,0.9711914,0.03125,0.02490234,-0.3266602
51,0.6875,0.0625,-0.1875,-0.05029297,0.01513672,0.9711914,0.03125,0.02490234,-0.3266602
53,-0.3125,-0.0625,0,-0.03466797,0.03076172,0.9868164,0.02441406,0.02734375,-0.3208008
54,0.3125,0.375,-0.25,-0.04638672,0.03076172,0.9672852,0.02441406,0.02734375,-0.3208008
56,-0.125,-0.375,-0.25,-0.03466797,0.04248047,0.9829102,0.02441406,0.02734375,-0.3208008
58,0,0.0625,-0.125,-0.05029297,0.02685547,0.9633789,0.02441406,0.02734375,-0.3208008
60,-0.25,-0.125,-0.1875,-0.02685547,0.02685547,0.9829102,0.02783203,0.02001953,-0.3168945
61,-0.125,-0.25,0,-0.03466797,0.01513672,0.9672852,0.02783203,0.02001953,-0.3168945
63,-0.3125,0,0.125,-0.05029297,0.01904297,0.9829102,0.02783203,0.02001953,-0.3168945
64,0.3125,0.1875,-0.375,-0.04638672,0.03076172,0.9711914,0.03466797,0.02929688,-0.3222656
66,0.5,0,0,-0.02685547,0.02294922,0.9633789,0.03466797,0.02929688,-0.3222656
67,-0.3125,-0.125,0,-0.03076172,0.02685547,0.9829102,0.03466797,0.02929688,-0.3222656
69,0.0625,0.1875,-0.3125,-0.03857422,0.03466797,0.9672852,0.03710938,0.02246094,-0.3125
70,0.1875,-0.5,-0.0625,-0.03857422,0.05029297,0.9672852,0.03710938,0.02246094,-0.3125
73,1.0625,-0.25,-0.4375,-0.03076172,0.02294922,0.9829102,0.03710938,0.02246094,-0.3125
74,0.1875,0,-0.6875,-0.03466797,0.02685547,0.9829102,0.03710938,0.02246094,-0.3125
76,0.25,-0.25,-0.25,-0.04248047,0.03466797,0.9790039,0.03710938,0.02246094,-0.3125
77,0.1875,-0.1875,0,-0.03466797,0.02685547,0.9594727,0.03710938,0.02246094,-0.3125
79,0.0625,0.375,-0.375,-0.03076172,0.04248047,0.9868164,0.03710938,0.02246094,-0.3125
80,-0.0625,-0.6875,-0.5,-0.03857422,0.03076172,0.9594727,0.03125,0.02246094,-0.3237305
82,0.375,-0.3125,-0.6875,-0.03076172,0.03466797,0.9711914,0.03125,0.02246094,-0.3237305
